x_lo,x_hi,x_mid,count,mean,std,min,max,median,rmse,mae,p90_ae,p99_ae
6016.0,6515.666666666667,6265.833333333334,1603155,-2122.075211068175,400.72607694994923,-3100.0,-1081.0,,2159.5797021670405,2122.075211068175,2700.0,3100.0
6515.666666666667,7015.333333333334,6765.5,1598190,-1886.0196941540116,413.42836021225935,-3100.0,-919.0,,1930.8011779612948,1886.0196941540116,2500.0,3100.0
7015.333333333334,7515.0,7265.166666666667,1596150,-2041.0230147542525,380.84234886712585,-2705.0,-1273.0,,2076.25040652084,2041.0230147542525,2600.0,2700.0
7515.0,8014.666666666667,7764.833333333334,1596075,-1973.6219162633336,435.251735512777,-3100.0,-1046.0,,2021.0461209304751,1973.6219162633336,2600.0,3100.0
8014.666666666667,8514.333333333334,8264.5,1595970,-1937.575897416618,367.52579670989127,-2705.0,-1086.0,,1972.1246119000368,1937.575897416618,2600.0,2700.0
8514.333333333334,9014.0,8764.166666666668,1603605,-2042.5701965259525,447.0089930148455,-3100.0,-1046.0,,2090.9112661629893,2042.5701965259525,2600.0,3100.0
9014.0,9513.666666666668,9263.833333333334,1598475,-1838.4195060917436,357.2133850217553,-2705.0,-954.0,,1872.80207256142,1838.4195060917436,2300.0,2700.0
9513.666666666668,10013.333333333334,9763.5,1607205,-2109.4855230042217,412.7181724721843,-3100.0,-1046.0,,2149.480252449472,2109.4855230042217,2700.0,3100.0
10013.333333333334,10513.0,10263.166666666668,1607895,-1868.5042680025747,406.607569454265,-3100.0,-1046.0,,1912.2337232298883,1868.5042680025747,2400.0,3100.0
10513.0,11012.666666666668,10762.833333333334,1594995,-2061.4001548594197,380.92904084172125,-3017.0,-1381.0,,2096.3008948227384,2061.4001548594197,2600.0,2700.0
11012.666666666668,11512.333333333334,11262.5,1599000,-1957.454449656035,431.2428662833674,-3100.0,-1046.0,,2004.3947255703674,1957.454449656035,2600.0,3100.0
11512.333333333334,12012.0,11762.166666666668,1590855,-1955.9725304946082,370.6436937903368,-2705.0,-1109.0,,1990.7800484840086,1955.9725304946082,2600.0,2700.0
12012.0,12511.666666666668,12261.833333333334,1603845,-2029.7745511567514,447.32358380162293,-3100.0,-1046.0,,2078.4809338521836,2029.7745511567514,2600.0,3100.0
12511.666666666668,13011.333333333334,12761.5,1595415,-1857.1194234728896,359.01510487883024,-2705.0,-1046.0,,1891.5031900006197,1857.1194234728896,2300.0,2700.0
13011.333333333334,13511.0,13261.166666666668,1595475,-2097.1813879879032,423.2703097134189,-3100.0,-1046.0,,2139.4689567545943,2097.1813879879032,2700.0,3100.0
13511.0,14010.666666666668,13760.833333333334,1604235,-1846.832530770118,394.2819043873445,-3100.0,-938.0,,1888.4513549290002,1846.832530770118,2300.0,3100.0
14010.666666666668,14510.333333333334,14260.5,1606275,-2083.009571835458,381.56367859972534,-3039.0,-1292.0,,2117.6684411271494,2083.009571835458,2600.0,2700.0
14510.333333333334,15010.0,14760.166666666668,1607490,-1944.7366111142217,428.04409737561605,-3100.0,-1046.0,,1991.286549426302,1944.7366111142217,2500.0,3100.0
15010.0,15509.666666666668,15259.833333333334,1605810,-1975.3705232873128,373.66271033814263,-2705.0,-1381.0,,2010.4010640716658,1975.3705232873128,2600.0,2700.0
15509.666666666668,16009.333333333334,15759.5,1599555,-2019.1666275932994,446.71061360711894,-3100.0,-1046.0,,2067.9903572168964,2019.1666275932994,2600.0,3100.0
16009.333333333334,16509.0,16259.166666666668,1587015,-1875.5931197877776,360.156934104269,-2705.0,-891.0,,1909.8592844617317,1875.5931197877776,2300.0,2700.0
16509.0,17008.666666666668,16758.833333333336,1603890,-2083.7857646097923,431.726879203286,-3100.0,-1046.0,,2128.039260635715,2083.7857646097923,2600.0,3100.0
17008.666666666668,17508.333333333336,17258.5,1598655,-1827.0880521438335,379.2985088829605,-3100.0,-1046.0,,1866.0434129823548,1827.0880521438335,2300.0,2800.0
17508.333333333336,18008.0,17758.166666666668,1597785,-2106.182533945431,383.63812916318534,-3071.0,-1381.0,,2140.836983128496,2106.182533945431,2700.0,2800.0
