pin,direction,use,pin_family,pin_index,is_position_bus,layers,shape_count,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,ll_bbox_x1,ll_bbox_y1,ll_bbox_x2,ll_bbox_y2,ll_center_x,ll_center_y,width,height,side,edge_distance
Cout[8],INOUT,SIGNAL,Cout,8,NO,MET3,1,381.295,1659.395,381.575,1659.675,381.435,1659.5349999999999,432.69,1725.2549999999999,432.96999999999997,1725.5349999999999,432.83,1725.3949999999998,0.2799999999999727,0.2799999999999727,TOP,0.005000000000109139
Cout[9],INOUT,SIGNAL,Cout,9,NO,MET3,1,424.595,1659.395,424.875,1659.675,424.735,1659.5349999999999,475.99,1725.2549999999999,476.27,1725.5349999999999,476.13,1725.3949999999998,0.2799999999999727,0.2799999999999727,TOP,0.005000000000109139
Cout[10],INOUT,SIGNAL,Cout,10,NO,MET3,1,467.895,1659.395,468.175,1659.675,468.03499999999997,1659.5349999999999,519.29,1725.2549999999999,519.57,1725.5349999999999,519.43,1725.3949999999998,0.28000000000002956,0.2799999999999727,TOP,0.005000000000109139
Cout[11],INOUT,SIGNAL,Cout,11,NO,MET3,1,511.195,1659.395,511.475,1659.675,511.33500000000004,1659.5349999999999,562.59,1725.2549999999999,562.87,1725.5349999999999,562.73,1725.3949999999998,0.28000000000002956,0.2799999999999727,TOP,0.005000000000109139
Cout[12],INOUT,SIGNAL,Cout,12,NO,MET3,1,554.495,1659.395,554.775,1659.675,554.635,1659.5349999999999,605.89,1725.2549999999999,606.17,1725.5349999999999,606.03,1725.3949999999998,0.2799999999999727,0.2799999999999727,TOP,0.005000000000109139
Cout[13],INOUT,SIGNAL,Cout,13,NO,MET3,1,597.795,1659.395,598.075,1659.675,597.935,1659.5349999999999,649.1899999999999,1725.2549999999999,649.47,1725.5349999999999,649.3299999999999,1725.3949999999998,0.2800000000000864,0.2799999999999727,TOP,0.005000000000109139
Cout[14],INOUT,SIGNAL,Cout,14,NO,MET3,1,641.095,1659.395,641.375,1659.675,641.235,1659.5349999999999,692.49,1725.2549999999999,692.77,1725.5349999999999,692.63,1725.3949999999998,0.2799999999999727,0.2799999999999727,TOP,0.005000000000109139
Cout[15],INOUT,SIGNAL,Cout,15,NO,MET3,1,684.395,1659.395,684.675,1659.675,684.535,1659.5349999999999,735.79,1725.2549999999999,736.0699999999999,1725.5349999999999,735.93,1725.3949999999998,0.2799999999999727,0.2799999999999727,TOP,0.005000000000109139
Cout[16],INOUT,SIGNAL,Cout,16,NO,MET3,1,727.695,1659.395,727.975,1659.675,727.835,1659.5349999999999,779.09,1725.2549999999999,779.37,1725.5349999999999,779.23,1725.3949999999998,0.2799999999999727,0.2799999999999727,TOP,0.005000000000109139
Cout[17],INOUT,SIGNAL,Cout,17,NO,MET3,1,770.995,1659.395,771.275,1659.675,771.135,1659.5349999999999,822.39,1725.2549999999999,822.67,1725.5349999999999,822.53,1725.3949999999998,0.2799999999999727,0.2799999999999727,TOP,0.005000000000109139
Cout[18],INOUT,SIGNAL,Cout,18,NO,MET3,1,814.295,1659.395,814.575,1659.675,814.435,1659.5349999999999,865.6899999999999,1725.2549999999999,865.97,1725.5349999999999,865.8299999999999,1725.3949999999998,0.2800000000000864,0.2799999999999727,TOP,0.005000000000109139
