ns_inf,nf_inf,nslow,nfast_hit,stop_phase_disc,phase0_snap,hit_idx,correction,within_std,train_count
0,0,5,9,7,0,0,-2132.942857142857,1.4397656652676283,105
0,0,5,10,7,0,0,-2169.1451316595226,23.05283746623186,1633
0,0,5,11,7,0,0,-2170.260153031195,23.0848807674368,1699
0,0,5,12,7,1,0,-3050.6816816816818,23.257886922076217,1665
0,0,6,2,7,1,0,-2170.197084548105,23.297960788913525,1715
0,0,6,3,4,1,0,-2140.3375,5.6394675059008685,400
0,0,6,3,6,1,0,-2177.0908353609084,15.711971209443059,1233
0,0,6,3,7,1,0,-2208.261261261261,1.380114316587228,111
0,0,6,4,0,1,0,-2153.551470588235,13.041203204904505,952
0,0,6,4,4,1,0,-2192.613368283093,10.018262723555496,763
0,0,6,5,0,1,0,-2170.6600698486614,22.863535547581613,1718
0,0,6,6,0,0,0,-2150.4689331770223,11.500569674937097,853
0,0,6,6,0,1,0,-2190.4544419134395,11.136330460469846,878
0,0,6,7,0,0,0,-2171.2122641509436,22.841738950200085,1696
0,0,6,8,0,0,0,-2187.8548728813557,12.757148111992139,944
0,0,6,8,1,0,0,-2147.7555865921786,10.286281180400502,716
0,0,6,9,1,0,0,-2200.6020408163267,5.650067357162496,392
0,0,6,9,3,0,0,-2163.5717993079584,15.662615018571508,1156
0,0,6,9,7,0,0,-2132.965217391304,1.3573018943811017,115
0,0,6,10,7,0,0,-2170.892307692308,23.018032550250766,1690
0,0,6,11,7,0,0,-2171.5324357405143,22.976955899103217,1634
0,0,6,12,7,1,0,-3050.24156626506,23.17773302959349,1660
0,0,7,2,7,1,0,-2171.2410766530134,22.793892661576006,1709
0,0,7,3,4,1,0,-2140.5897435897436,5.672859951265252,429
0,0,7,3,6,1,0,-2178.258474576271,16.05246074527195,1180
0,0,7,3,7,1,0,-2207.8252427184466,1.3754235673224235,103
0,0,7,4,0,1,0,-2152.3727087576376,13.124640955016032,982
0,0,7,4,4,1,0,-2193.1020408163267,9.984306719754317,686
0,0,7,5,0,1,0,-2169.6666666666665,23.18529730347092,1629
0,0,7,6,0,0,0,-2150.913348946136,11.394130736814617,854
0,0,7,6,0,1,0,-2190.5050732807217,11.67773429253644,887
0,0,7,7,0,0,0,-2170.297053517739,22.824821857388386,1663
0,0,7,8,0,0,0,-2188.133333333333,12.771960028271595,945
0,0,7,8,1,0,0,-2148.0026109660575,10.003915341740669,766
0,0,7,9,1,0,0,-2200.244588744589,5.97204190962409,462
0,0,7,9,3,0,0,-2162.8107416879793,16.280260293967967,1173
0,0,7,9,7,0,0,-2133.127659574468,1.362366859152206,94
0,0,7,10,7,0,0,-2169.3817016317016,22.734237673740427,1716
0,0,7,11,7,0,0,-2170.8524027459953,23.181651584819672,1748
0,0,7,12,7,1,0,-3049.7566293459045,23.203063113398176,1697
0,0,8,2,7,1,0,-2171.913255956017,22.927466333838698,1637
0,0,8,3,4,1,0,-2140.744578313253,5.752092401133064,415
0,0,8,3,6,1,0,-2177.8899647887324,15.874265137653742,1136
0,0,8,3,7,1,0,-2207.8504672897197,1.331177107624216,107
0,0,8,4,0,1,0,-2152.9652432969215,12.590714864918747,1007
0,0,8,4,4,1,0,-2193.179806362379,10.06978589972583,723
0,0,8,5,0,1,0,-2169.8268674001156,23.183281136102725,1727
0,0,8,6,0,0,0,-2151.0152224824355,12.112799378822148,854
0,0,8,6,0,1,0,-2190.3498871331826,11.473668696296821,886
0,0,8,7,0,0,0,-2169.9132052076875,23.364385558828467,1613
0,0,8,8,0,0,0,-2188.0103519668737,13.13396086613415,966
0,0,8,8,1,0,0,-2147.8858695652175,10.295525426538196,736
0,0,8,9,1,0,0,-2200.6783216783215,5.885783193770423,429
0,0,8,9,3,0,0,-2162.7200342465753,15.644089741316794,1168
0,0,8,9,7,0,0,-2133.190476190476,1.4741921958947608,105
0,0,8,10,7,0,0,-2170.8229583095376,22.92865199442935,1751
0,0,8,11,7,0,0,-2170.2985436893205,23.39253361537206,1648
0,0,8,12,7,1,0,-3050.2975206611573,23.10325431292999,1694
0,0,9,2,7,1,0,-2169.4399079930995,22.81369994848037,1739
0,0,9,3,4,1,0,-2140.6227272727274,5.911731927279671,440
0,0,9,3,6,1,0,-2177.6443071491617,16.051430353679525,1133
0,0,9,3,7,1,0,-2207.9918032786886,1.3700299245407628,122
0,0,9,4,0,1,0,-2153.0419727177336,12.993029089573904,953
0,0,9,4,4,1,0,-2193.0393184796853,10.042427716979336,763
0,0,9,5,0,1,0,-2171.5886610373946,22.825760884753592,1658
0,0,9,6,0,0,0,-2150.544819557625,11.730929062896319,859
0,0,9,6,0,1,0,-2190.621212121212,11.387019454222765,858
0,0,9,7,0,0,0,-2171.296958855098,22.971555801981584,1677
0,0,9,8,0,0,0,-2187.508333333333,12.953198339533055,960
0,0,9,8,1,0,0,-2147.8804780876494,10.062569394838608,753
0,0,9,9,1,0,0,-2200.6995073891626,5.556990870966994,406
0,0,9,9,3,0,0,-2162.261845386534,15.782986902444177,1203
0,0,9,9,7,0,0,-2133.017094017094,1.426147197111798,117
0,0,9,10,7,0,0,-2169.9278818852927,23.28150129754657,1761
0,0,9,11,7,0,0,-2170.376168224299,22.866380298047588,1712
0,0,9,12,7,1,0,-3050.718440954043,23.218437206354974,1719
0,0,10,2,7,1,0,-2169.6956765861873,23.156342598365413,1781
0,0,10,3,4,1,0,-2140.302211302211,5.909187451721421,407
0,0,10,3,6,1,0,-2178.583769633508,15.71297021286168,1146
0,0,10,3,7,1,0,-2207.9504950495048,1.32288491856002,101
0,0,10,4,0,1,0,-2152.397379912664,13.371307746967318,916
0,0,10,4,4,1,0,-2193.551401869159,10.16179335040649,749
0,0,10,5,0,1,0,-2169.6784677887404,23.480841045453715,1723
0,0,10,6,0,0,0,-2150.7214611872146,11.466948560112034,876
0,0,10,6,0,1,0,-2189.954707985697,11.658442587101929,839
0,0,10,7,0,0,0,-2169.869405272839,22.898587279576642,1631
0,0,10,8,0,0,0,-2188.572927597062,12.75358442018035,953
0,0,10,8,1,0,0,-2147.989159891599,10.201487303198656,738
0,0,10,9,1,0,0,-2200.742014742015,5.71000921862803,407
0,0,10,9,3,0,0,-2163.3996865203762,15.875252321322575,1276
0,0,10,10,7,0,0,-2169.9214412285883,23.756748059700975,1693
0,0,10,11,7,0,0,-2170.9279224712295,23.092057924163107,1651
0,0,10,12,7,1,0,-3049.89352692075,22.81508905104802,1653
0,0,11,2,7,1,0,-2170.7131242740998,22.819524763866077,1722
0,0,11,3,4,1,0,-2140.646288209607,5.753050963856166,458
0,0,11,3,6,1,0,-2178.1982683982683,15.766741162081107,1155
0,0,11,3,7,1,0,-2207.902912621359,1.451578070895301,103
0,0,11,4,0,1,0,-2152.6178278688526,12.80370599022715,976
0,0,11,4,4,1,0,-2193.3548387096776,9.904674861567486,744
0,0,11,5,0,1,0,-2170.440658716638,23.326583539463122,1761
0,0,11,6,0,0,0,-2150.6732558139533,11.614204659168342,860
0,0,11,6,0,1,0,-2190.113765642776,11.630381902747896,879
0,0,11,7,0,0,0,-2170.770142180095,23.253303479909526,1688
0,0,11,8,0,0,0,-2188.2525354969575,12.756977912409486,986
0,0,11,8,1,0,0,-2148.4980184940555,10.347033029142356,757
0,0,11,9,1,0,0,-2200.677033492823,5.578796049584023,418
0,0,11,9,3,0,0,-2162.905723905724,15.98840702372294,1188
0,0,11,9,7,0,0,-2132.92,1.4190137420688722,100
0,0,11,10,7,0,0,-2170.2987326493662,23.48012587290293,1657
0,0,11,11,7,0,0,-2171.417109144543,22.779876538826976,1695
0,0,11,12,7,1,0,-3050.2343373493977,23.124047916174984,1660
0,0,12,2,7,1,0,-2169.562146892655,23.03386923890522,1770
0,0,12,3,4,1,0,-2140.7580645161293,5.848627546667613,434
0,0,12,3,6,1,0,-2178.0794066317626,16.01770873176992,1146
0,0,12,3,7,1,0,-2208.0,1.402378931241782,120
0,0,12,4,0,1,0,-2152.685222672065,13.089272435283139,988
0,0,12,4,4,1,0,-2193.296343001261,10.387532503857438,793
0,0,12,5,0,1,0,-2171.100683654444,23.199565066960876,1609
0,0,12,6,0,0,0,-2150.402644230769,11.37083155783645,832
0,0,12,6,0,1,0,-2190.5320139697324,11.609170515801303,859
0,0,12,7,0,0,0,-2170.6706689536877,23.128179695074127,1749
0,0,12,8,0,0,0,-2188.7703398558187,13.23400208989744,971
0,0,12,8,1,0,0,-2147.623955431755,9.978561138998284,718
0,0,12,9,1,0,0,-2200.8456221198157,5.88849082125971,434
0,0,12,9,3,0,0,-2162.153846153846,15.593180289204446,1170
0,0,12,9,7,0,0,-2132.8067226890757,1.3427509132576843,119
0,0,12,10,7,0,0,-2170.4158075601376,23.111440313675104,1746
0,0,12,11,7,0,0,-2170.499716713881,23.01305516736826,1765
0,0,12,12,7,1,0,-3050.2225352112678,23.085500584419766,1775
0,0,13,2,7,1,0,-2169.969715324046,22.36223028428734,1651
0,0,13,3,4,1,0,-2140.378048780488,5.9551990892574045,410
0,0,13,3,6,1,0,-2178.3959044368603,15.874408439161101,1172
0,0,13,3,7,1,0,-2208.2680412371133,1.3811355251293493,97
0,0,13,4,0,1,0,-2153.686432160804,12.954197117078849,995
0,0,13,4,4,1,0,-2192.5681198910083,9.862411370679188,734
0,0,13,5,0,1,0,-2170.9092558983666,23.087570847481555,1653
0,0,13,6,0,0,0,-2150.636261261261,11.437920591791219,888
0,0,13,6,0,1,0,-2190.4298245614036,11.417326792906435,798
0,0,13,7,0,0,0,-2171.9826139088727,23.44513079843911,1668
0,0,13,8,0,0,0,-2188.0010101010103,13.075422197586201,990
0,0,13,8,1,0,0,-2148.170610211706,10.320615358171866,803
0,0,13,9,1,0,0,-2200.309405940594,5.720452333112455,404
0,0,13,9,3,0,0,-2162.989285714286,16.035949330081376,1120
0,0,13,9,7,0,0,-2132.8958333333335,1.3729466989148,96
0,0,13,10,7,0,0,-2170.7353971962616,23.196276677779213,1712
0,0,13,11,7,0,0,-2169.8204204204203,22.99752311648731,1665
0,0,13,12,7,1,0,-3049.8994117647057,22.879811283313842,1700
0,0,14,2,7,1,0,-2170.971652593486,23.236078853341077,1658
0,0,14,3,4,1,0,-2140.6971153846152,5.6890237896194735,416
0,0,14,3,6,1,0,-2178.133108677338,15.635403867831371,1187
0,0,14,3,7,1,0,-2208.032258064516,1.2822327039880965,93
0,0,14,4,0,1,0,-2152.723140495868,13.12148424585607,968
0,0,14,4,4,1,0,-2192.512616201859,10.177973388306032,753
0,0,14,5,0,1,0,-2170.2222891566266,23.14406134371828,1660
0,0,14,6,0,0,0,-2150.2396694214876,11.551452941597832,847
0,0,14,6,0,1,0,-2190.3885647607935,11.56633790873487,857
0,0,14,7,0,0,0,-2170.569195136074,23.609095550095244,1727
0,0,14,8,0,0,0,-2187.880341880342,12.904423407236962,936
