term,direction,layer,purpose,llx,lly,urx,ury,cx,cy
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_SUB,inputOutput,METTPL,pin,-85.930000,2702.755000,-85.430000,2710.155000,-85.680000,2706.455000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_SUB,inputOutput,METTPL,pin,-36.630000,13.555000,-36.130000,20.955000,-36.380000,17.255000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_SUB,inputOutput,METTPL,pin,43.570000,2702.755000,44.070000,2710.155000,43.820000,2706.455000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_SUB,inputOutput,MET5,pin,-36.630000,13.555000,-36.130000,21.695000,-36.380000,17.625000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_SUB,inputOutput,MET5,pin,43.570000,2702.015000,44.070000,2710.155000,43.820000,2706.085000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_SUB,inputOutput,MET4,pin,-36.630000,13.555000,-36.130000,21.695000,-36.380000,17.625000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_SUB,inputOutput,MET4,pin,43.570000,2702.015000,44.070000,2710.155000,43.820000,2706.085000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_SUB,inputOutput,METTPL,pin,-36.630000,168.315000,-36.130000,176.555000,-36.380000,172.435000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_SUB,inputOutput,METTPL,pin,43.570000,2547.155000,44.070000,2555.395000,43.820000,2551.275000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_SUB,inputOutput,MET5,pin,-36.630000,167.815000,-36.130000,176.555000,-36.380000,172.185000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_SUB,inputOutput,MET5,pin,43.570000,2547.155000,44.070000,2555.895000,43.820000,2551.525000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_SUB,inputOutput,MET4,pin,-36.630000,167.815000,-36.130000,176.555000,-36.380000,172.185000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_SUB,inputOutput,MET4,pin,43.570000,2547.155000,44.070000,2555.895000,43.820000,2551.525000
I183|GNDO_GNDO_SUB,inputOutput,METTPL,pin,-36.630000,23.695000,-36.130000,57.695000,-36.380000,40.695000
I183|GNDO_GNDO_SUB,inputOutput,METTPL,pin,43.570000,2666.015000,44.070000,2700.015000,43.820000,2683.015000
I183|PSUB_AVSS,inputOutput,METTPL,pin,226.970000,168.315000,227.470000,176.555000,227.220000,172.435000
I183|PSUB_AVSS,inputOutput,MET4,pin,143.470000,13.555000,143.970000,21.695000,143.720000,17.625000
I183|PSUB_AVSS,inputOutput,MET4,pin,143.470000,167.815000,143.970000,176.555000,143.720000,172.185000
I183|PSUB_AVSS,inputOutput,MET5,pin,143.470000,13.555000,143.970000,21.695000,143.720000,17.625000
I183|PSUB_AVSS,inputOutput,MET5,pin,143.470000,167.815000,143.970000,176.555000,143.720000,172.185000
I183|PSUB_AVSS,inputOutput,MET4,pin,226.970000,13.555000,227.470000,21.695000,227.220000,17.625000
I183|PSUB_AVSS,inputOutput,MET4,pin,226.970000,167.815000,227.470000,176.555000,227.220000,172.185000
I183|PSUB_AVSS,inputOutput,MET5,pin,226.970000,13.555000,227.470000,21.695000,227.220000,17.625000
I183|PSUB_AVSS,inputOutput,MET5,pin,226.970000,167.815000,227.470000,176.555000,227.220000,172.185000
I183|PSUB_AVSS,inputOutput,METTPL,pin,143.470000,13.555000,143.970000,20.955000,143.720000,17.255000
I183|PSUB_AVSS,inputOutput,METTPL,pin,226.970000,13.555000,227.470000,20.955000,227.220000,17.255000
I183|PSUB_AVSS,inputOutput,METTPL,pin,143.470000,168.315000,143.970000,176.555000,143.720000,172.435000
I183|PSUB_AVSS,inputOutput,METTPL,pin,226.970000,168.315000,227.470000,176.555000,227.220000,172.435000
I183|PSUB_AVSS,inputOutput,METTPL,pin,320.970000,168.315000,321.470000,176.555000,321.220000,172.435000
I183|PSUB_AVSS,inputOutput,MET4,pin,237.470000,13.555000,237.970000,21.695000,237.720000,17.625000
I183|PSUB_AVSS,inputOutput,MET4,pin,237.470000,167.815000,237.970000,176.555000,237.720000,172.185000
I183|PSUB_AVSS,inputOutput,MET5,pin,237.470000,13.555000,237.970000,21.695000,237.720000,17.625000
I183|PSUB_AVSS,inputOutput,MET5,pin,237.470000,167.815000,237.970000,176.555000,237.720000,172.185000
I183|PSUB_AVSS,inputOutput,MET4,pin,320.970000,13.555000,321.470000,21.695000,321.220000,17.625000
I183|PSUB_AVSS,inputOutput,MET4,pin,320.970000,167.815000,321.470000,176.555000,321.220000,172.185000
I183|PSUB_AVSS,inputOutput,MET5,pin,320.970000,13.555000,321.470000,21.695000,321.220000,17.625000
I183|PSUB_AVSS,inputOutput,MET5,pin,320.970000,167.815000,321.470000,176.555000,321.220000,172.185000
I183|PSUB_AVSS,inputOutput,METTPL,pin,237.470000,13.555000,237.970000,20.955000,237.720000,17.255000
I183|PSUB_AVSS,inputOutput,METTPL,pin,320.970000,13.555000,321.470000,20.955000,321.220000,17.255000
I183|PSUB_AVSS,inputOutput,METTPL,pin,237.470000,168.315000,237.970000,176.555000,237.720000,172.435000
I183|PSUB_AVSS,inputOutput,METTPL,pin,320.970000,168.315000,321.470000,176.555000,321.220000,172.435000
