inst,master_lib,master_cell,master_view,orient,term,direction,net,layer,purpose,master_llx,master_lly,master_urx,master_ury,top_llx,top_lly,top_urx,top_ury,top_cx,top_cy,norm_top_llx,norm_top_lly,norm_top_urx,norm_top_ury,norm_top_cx,norm_top_cy,nearest_inst_side
M182,SPADMIC,matrice4,layout,,Yz<33>,inputOutput,,MET2,pin,1940.085000,849.075000,1940.365000,849.355000,2017.150000,1481.115000,2017.430000,1481.395000,2017.290000,1481.255000,2017.390000,1768.830000,2017.670000,1769.110000,2017.530000,1768.970000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<32>,inputOutput,,MET2,pin,1940.085000,824.075000,1940.365000,824.355000,2017.150000,1456.115000,2017.430000,1456.395000,2017.290000,1456.255000,2017.390000,1743.830000,2017.670000,1744.110000,2017.530000,1743.970000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<33>,inputOutput,,MET2,pin,1940.085000,849.635000,1940.365000,849.915000,2017.150000,1481.675000,2017.430000,1481.955000,2017.290000,1481.815000,2017.390000,1769.390000,2017.670000,1769.670000,2017.530000,1769.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<32>,inputOutput,,MET2,pin,1940.085000,824.635000,1940.365000,824.915000,2017.150000,1456.675000,2017.430000,1456.955000,2017.290000,1456.815000,2017.390000,1744.390000,2017.670000,1744.670000,2017.530000,1744.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<31>,inputOutput,,MET2,pin,1940.085000,799.075000,1940.365000,799.355000,2017.150000,1431.115000,2017.430000,1431.395000,2017.290000,1431.255000,2017.390000,1718.830000,2017.670000,1719.110000,2017.530000,1718.970000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<30>,inputOutput,,MET2,pin,1940.085000,774.075000,1940.365000,774.355000,2017.150000,1406.115000,2017.430000,1406.395000,2017.290000,1406.255000,2017.390000,1693.830000,2017.670000,1694.110000,2017.530000,1693.970000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<31>,inputOutput,,MET2,pin,1940.085000,799.635000,1940.365000,799.915000,2017.150000,1431.675000,2017.430000,1431.955000,2017.290000,1431.815000,2017.390000,1719.390000,2017.670000,1719.670000,2017.530000,1719.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<30>,inputOutput,,MET2,pin,1940.085000,774.635000,1940.365000,774.915000,2017.150000,1406.675000,2017.430000,1406.955000,2017.290000,1406.815000,2017.390000,1694.390000,2017.670000,1694.670000,2017.530000,1694.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<29>,inputOutput,,MET2,pin,1940.085000,749.075000,1940.365000,749.355000,2017.150000,1381.115000,2017.430000,1381.395000,2017.290000,1381.255000,2017.390000,1668.830000,2017.670000,1669.110000,2017.530000,1668.970000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<28>,inputOutput,,MET2,pin,1940.085000,724.075000,1940.365000,724.355000,2017.150000,1356.115000,2017.430000,1356.395000,2017.290000,1356.255000,2017.390000,1643.830000,2017.670000,1644.110000,2017.530000,1643.970000,RIGHT
