objType,layer,purpose,llx,lly,urx,ury,width,height,cx,cy
label,METTPL,TEXT,213.826000,38.909000,241.114000,42.195000,27.288000,3.286000,227.470000,40.552000
label,METTPL,TEXT,214.184000,148.029000,240.756000,151.315000,26.572000,3.286000,227.470000,149.672000
label,METTPL,TEXT,130.041000,15.594000,156.899000,18.880000,26.858000,3.286000,143.470000,17.237000
label,METTPL,TEXT,214.041000,15.594000,240.899000,18.880000,26.858000,3.286000,227.470000,17.237000
label,METTPL,TEXT,130.041000,170.299000,156.899000,173.585000,26.858000,3.286000,143.470000,171.942000
label,METTPL,TEXT,214.041000,170.299000,240.899000,173.585000,26.858000,3.286000,227.470000,171.942000
label,METTPL,pin,307.791000,170.649000,334.649000,173.935000,26.858000,3.286000,321.220000,172.292000
label,METTPL,pin,216.576000,170.649000,258.864000,173.935000,42.288000,3.286000,237.720000,172.292000
label,METTPL,pin,292.362000,15.469000,350.078000,18.755000,57.716000,3.286000,321.220000,17.112000
label,METTPL,pin,201.148000,15.469000,274.292000,18.755000,73.144000,3.286000,237.720000,17.112000
label,MET5,pin,261.505000,170.399000,380.935000,173.685000,119.430000,3.286000,321.220000,172.042000
label,MET5,pin,253.791000,15.839000,388.649000,19.125000,134.858000,3.286000,321.220000,17.482000
label,MET4,pin,246.076000,170.399000,396.364000,173.685000,150.288000,3.286000,321.220000,172.042000
label,MET4,pin,238.362000,15.839000,404.078000,19.125000,165.716000,3.286000,321.220000,17.482000
label,MET5,pin,108.576000,170.399000,366.864000,173.685000,258.288000,3.286000,237.720000,172.042000
label,MET5,pin,100.862000,15.839000,374.578000,19.125000,273.716000,3.286000,237.720000,17.482000
label,MET4,pin,93.148000,170.399000,382.292000,173.685000,289.144000,3.286000,237.720000,172.042000
label,MET4,pin,85.434000,15.839000,390.006000,19.125000,304.572000,3.286000,237.720000,17.482000
label,MET4,TEXT,224.076000,38.909000,251.364000,42.195000,27.288000,3.286000,237.720000,40.552000
label,MET4,TEXT,224.291000,15.839000,251.149000,19.125000,26.858000,3.286000,237.720000,17.482000
label,MET4,TEXT,224.291000,170.049000,251.149000,173.335000,26.858000,3.286000,237.720000,171.692000
label,MET4,TEXT,224.434000,148.029000,251.006000,151.315000,26.572000,3.286000,237.720000,149.672000
label,MET5,TEXT,224.076000,38.909000,251.364000,42.195000,27.288000,3.286000,237.720000,40.552000
label,MET5,TEXT,224.291000,15.839000,251.149000,19.125000,26.858000,3.286000,237.720000,17.482000
label,MET5,TEXT,224.291000,170.049000,251.149000,173.335000,26.858000,3.286000,237.720000,171.692000
