row,col,bit,endpoint_pin,driver_pin,driver_instance,current_cell,status,method,candidate_count,score
0,4,4,"u_core_gen_pd_row[0].gen_pd_col[4].u_pd/nfast_hit_latched_reg[4]/D","u_core_gen_pd_row[0].gen_pd_col[4].u_pd/g439__4319/Q","u_core_gen_pd_row[0].gen_pd_col[4].u_pd/g439__4319",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,4,2,"u_core_gen_pd_row[0].gen_pd_col[4].u_pd/nfast_hit_latched_reg[2]/D","u_core_gen_pd_row[0].gen_pd_col[4].u_pd/g437__5107/Q","u_core_gen_pd_row[0].gen_pd_col[4].u_pd/g437__5107",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,4,1,"u_core_gen_pd_row[0].gen_pd_col[4].u_pd/nfast_hit_latched_reg[1]/D","u_core_gen_pd_row[0].gen_pd_col[4].u_pd/g438__6260/Q","u_core_gen_pd_row[0].gen_pd_col[4].u_pd/g438__6260",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,4,5,"u_core_gen_pd_row[0].gen_pd_col[4].u_pd/nfast_hit_latched_reg[5]/D","u_core_gen_pd_row[0].gen_pd_col[4].u_pd/g442__6783/Q","u_core_gen_pd_row[0].gen_pd_col[4].u_pd/g442__6783",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,4,3,"u_core_gen_pd_row[0].gen_pd_col[4].u_pd/nfast_hit_latched_reg[3]/D","u_core_gen_pd_row[0].gen_pd_col[4].u_pd/g436__2398/Q","u_core_gen_pd_row[0].gen_pd_col[4].u_pd/g436__2398",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,5,0,"u_core_gen_pd_row[0].gen_pd_col[5].u_pd/nfast_hit_latched_reg[0]/D","","",NO_ON22JIHDX0_DRIVER,NO_SOURCE_DRIVER,NONE,0,0
0,5,2,"u_core_gen_pd_row[0].gen_pd_col[5].u_pd/nfast_hit_latched_reg[2]/D","","",NO_ON22JIHDX0_DRIVER,NO_SOURCE_DRIVER,NONE,0,0
0,5,1,"u_core_gen_pd_row[0].gen_pd_col[5].u_pd/nfast_hit_latched_reg[1]/D","u_core_gen_pd_row[0].gen_pd_col[5].u_pd/g438__6131/Q","u_core_gen_pd_row[0].gen_pd_col[5].u_pd/g438__6131",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,5,5,"u_core_gen_pd_row[0].gen_pd_col[5].u_pd/nfast_hit_latched_reg[5]/D","u_core_gen_pd_row[0].gen_pd_col[5].u_pd/g442__4733/Q","u_core_gen_pd_row[0].gen_pd_col[5].u_pd/g442__4733",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,5,3,"u_core_gen_pd_row[0].gen_pd_col[5].u_pd/nfast_hit_latched_reg[3]/D","u_core_gen_pd_row[0].gen_pd_col[5].u_pd/g436__8246/Q","u_core_gen_pd_row[0].gen_pd_col[5].u_pd/g436__8246",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,5,6,"u_core_gen_pd_row[0].gen_pd_col[5].u_pd/nfast_hit_latched_reg[6]/D","u_core_gen_pd_row[0].gen_pd_col[5].u_pd/g441__7482/Q","u_core_gen_pd_row[0].gen_pd_col[5].u_pd/g441__7482",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,5,4,"u_core_gen_pd_row[0].gen_pd_col[5].u_pd/nfast_hit_latched_reg[4]/D","u_core_gen_pd_row[0].gen_pd_col[5].u_pd/g439__1881/Q","u_core_gen_pd_row[0].gen_pd_col[5].u_pd/g439__1881",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,6,0,"u_core_gen_pd_row[0].gen_pd_col[6].u_pd/nfast_hit_latched_reg[0]/D","","",NO_ON22JIHDX0_DRIVER,NO_SOURCE_DRIVER,NONE,0,0
0,6,6,"u_core_gen_pd_row[0].gen_pd_col[6].u_pd/nfast_hit_latched_reg[6]/D","u_core_gen_pd_row[0].gen_pd_col[6].u_pd/g441__5107/Q","u_core_gen_pd_row[0].gen_pd_col[6].u_pd/g441__5107",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,6,4,"u_core_gen_pd_row[0].gen_pd_col[6].u_pd/nfast_hit_latched_reg[4]/D","u_core_gen_pd_row[0].gen_pd_col[6].u_pd/g439__5477/Q","u_core_gen_pd_row[0].gen_pd_col[6].u_pd/g439__5477",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,6,1,"u_core_gen_pd_row[0].gen_pd_col[6].u_pd/nfast_hit_latched_reg[1]/D","u_core_gen_pd_row[0].gen_pd_col[6].u_pd/g438__6417/Q","u_core_gen_pd_row[0].gen_pd_col[6].u_pd/g438__6417",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,6,5,"u_core_gen_pd_row[0].gen_pd_col[6].u_pd/nfast_hit_latched_reg[5]/D","u_core_gen_pd_row[0].gen_pd_col[6].u_pd/g442__6260/Q","u_core_gen_pd_row[0].gen_pd_col[6].u_pd/g442__6260",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,6,2,"u_core_gen_pd_row[0].gen_pd_col[6].u_pd/nfast_hit_latched_reg[2]/D","u_core_gen_pd_row[0].gen_pd_col[6].u_pd/g437__7410/Q","u_core_gen_pd_row[0].gen_pd_col[6].u_pd/g437__7410",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,6,3,"u_core_gen_pd_row[0].gen_pd_col[6].u_pd/nfast_hit_latched_reg[3]/D","u_core_gen_pd_row[0].gen_pd_col[6].u_pd/g436__1666/Q","u_core_gen_pd_row[0].gen_pd_col[6].u_pd/g436__1666",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,7,0,"u_core_gen_pd_row[0].gen_pd_col[7].u_pd/nfast_hit_latched_reg[0]/D","","",NO_ON22JIHDX0_DRIVER,NO_SOURCE_DRIVER,NONE,0,0
0,7,2,"u_core_gen_pd_row[0].gen_pd_col[7].u_pd/nfast_hit_latched_reg[2]/D","u_core_gen_pd_row[0].gen_pd_col[7].u_pd/g437__2802/Q","u_core_gen_pd_row[0].gen_pd_col[7].u_pd/g437__2802",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,7,1,"u_core_gen_pd_row[0].gen_pd_col[7].u_pd/nfast_hit_latched_reg[1]/D","u_core_gen_pd_row[0].gen_pd_col[7].u_pd/g438__1705/Q","u_core_gen_pd_row[0].gen_pd_col[7].u_pd/g438__1705",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
