instance	master	placement_status	orientation	box
g1527__9315	NA4JIHDX1	placed	R0	{385.28 284.48 388.64 288.96}
g1528__9945	NA4JIHDX1	placed	MY	{367.92 356.16 371.28 360.64}
g1529__2883	NA4JIHDX1	placed	MY	{384.72 347.2 388.08 351.68}
g1530__2346	NA4JIHDX1	placed	R180	{371.28 154.56 374.64 159.04}
g1531__1666	AND4JIHDX1	placed	R180	{356.72 557.76 360.64 562.24}
g1532__7410	NA4JIHDX1	placed	MX	{363.44 208.32 366.8 212.8}
g1533__6417	NA4JIHDX1	placed	MX	{395.36 145.6 398.72 150.08}
g1534__5477	NA4JIHDX1	placed	MX	{385.84 145.6 389.2 150.08}
g1535__2398	NA4JIHDX1	placed	MX	{367.92 297.92 371.28 302.4}
g1536__5107	AND4JIHDX1	placed	MY	{358.96 508.48 362.88 512.96}
g1537__6260	AND4JIHDX1	placed	MX	{376.88 575.68 380.8 580.16}
g1538__4319	NA4JIHDX1	placed	R180	{364.56 351.68 367.92 356.16}
g1539__8428	AND4JIHDX1	placed	R0	{394.24 598.08 398.16 602.56}
g153__5526	MU2JIHDX0	placed	R0	{20.16 472.64 24.64 477.12}
g1540__5526	AND4JIHDX1	placed	MY	{380.8 607.04 384.72 611.52}
g1541__6783	AND4JIHDX1	placed	MX	{366.8 557.76 370.72 562.24}
g1542__3680	AND4JIHDX1	placed	R180	{370.72 584.64 374.64 589.12}
g1543__1617	AND4JIHDX1	placed	MX	{390.32 539.84 394.24 544.32}
g1544__2802	AND4JIHDX1	placed	R0	{365.12 544.32 369.04 548.8}
g1545__1705	AND4JIHDX1	placed	R0	{377.44 571.2 381.36 575.68}
g1546__5122	AND4JIHDX1	placed	MX	{364.56 504.0 368.48 508.48}
g1547__8246	NA4JIHDX1	placed	MX	{392.0 333.76 395.36 338.24}
g1548__7098	NA4JIHDX1	placed	R180	{373.52 136.64 376.88 141.12}
g1549__6131	NA4JIHDX1	placed	MX	{367.36 181.44 370.72 185.92}
g154__6783	MU2JIHDX2	placed	MX	{20.16 468.16 25.76 472.64}
