config,delay_ps,estimator,N,count,mean,std,min,max,median,rmse,mae,p90_ae,p99_ae
multihit_15_cal_nominal,500,conv_mean,12,1000,-1751.9355555555555,0.9095556547127055,-1752.0,-1739.1111111111113,-1752.0,1751.935791427286,1751.9355555555555,1752.0,1752.0
multihit_15_cal_nominal,500,conv_mean,13,1000,-1751.9881025641025,0.3762299575174656,-1752.0,-1740.1025641025642,-1752.0,1751.9881429203786,1751.9881025641025,1752.0,1752.0
multihit_15_cal_nominal,500,conv_mean,14,1000,-1751.977904761905,0.4938172021358359,-1752.0,-1740.952380952381,-1752.0,1751.9779742866313,1751.977904761905,1752.0,1752.0
multihit_15_cal_nominal,500,conv_mean,15,1000,-1752.0,0.0,-1752.0,-1752.0,-1752.0,1752.0,1752.0,1752.0,1752.0
multihit_15_cal_nominal,1000,conv_mean,1,1000,-2041.333333333333,4.549748952343969e-13,-2041.3333333333335,-2041.3333333333335,-2041.3333333333335,2041.3333333333333,2041.333333333333,2041.3333333333335,2041.3333333333335
multihit_15_cal_nominal,1000,conv_mean,2,1000,-2041.2586666666666,2.3611673195923926,-2041.3333333333335,-1966.6666666666667,-2041.3333333333335,2041.2600309068362,2041.2586666666666,2041.3333333333335,2041.3333333333335
multihit_15_cal_nominal,1000,conv_mean,3,1000,-2041.3333333333328,4.549748952343969e-13,-2041.3333333333333,-2041.3333333333333,-2041.3333333333333,2041.333333333333,2041.3333333333328,2041.3333333333333,2041.3333333333333
multihit_15_cal_nominal,1000,conv_mean,4,1000,-2041.333333333333,4.549748952343969e-13,-2041.3333333333335,-2041.3333333333335,-2041.3333333333335,2041.3333333333333,2041.333333333333,2041.3333333333335,2041.3333333333335
multihit_15_cal_nominal,1000,conv_mean,5,1000,-2041.333333333333,4.549748952343969e-13,-2041.3333333333335,-2041.3333333333335,-2041.3333333333335,2041.3333333333333,2041.333333333333,2041.3333333333335,2041.3333333333335
multihit_15_cal_nominal,1000,conv_mean,6,1000,-2041.2586666666666,1.3618553187356082,-2041.3333333333337,-2016.4444444444446,-2041.3333333333337,2041.2591205030872,2041.2586666666666,2041.3333333333337,2041.3333333333337
multihit_15_cal_nominal,1000,conv_mean,7,1000,-2041.333333333333,6.824623428515955e-13,-2041.3333333333337,-2041.3333333333337,-2041.3333333333337,2041.3333333333333,2041.333333333333,2041.3333333333337,2041.3333333333337
multihit_15_cal_nominal,1000,conv_mean,8,1000,-2041.277333333333,1.0213914890517,-2041.3333333333335,-2022.6666666666667,-2041.3333333333335,2041.2775886139978,2041.277333333333,2041.3333333333335,2041.3333333333335
multihit_15_cal_nominal,1000,conv_mean,9,1000,-2041.3333333333328,4.549748952343969e-13,-2041.3333333333333,-2041.3333333333333,-2041.3333333333333,2041.333333333333,2041.3333333333328,2041.3333333333333,2041.3333333333333
multihit_15_cal_nominal,1000,conv_mean,10,1000,-2041.2437333333328,1.1538326726623493,-2041.3333333333333,-2026.4,-2041.3333333333333,2041.2440591147129,2041.2437333333328,2041.3333333333333,2041.3333333333333
multihit_15_cal_nominal,1000,conv_mean,11,1000,-2041.3197575757565,0.4293031490167887,-2041.333333333333,-2027.7575757575758,-2041.333333333333,2041.3198026732707,2041.3197575757565,2041.333333333333,2041.333333333333
multihit_15_cal_nominal,1000,conv_mean,12,1000,-2041.2835555555546,0.7858731192263008,-2041.333333333333,-2028.8888888888887,-2041.333333333333,2041.2837066807967,2041.2835555555546,2041.333333333333,2041.333333333333
multihit_15_cal_nominal,1000,conv_mean,13,1000,-2041.3218461538452,0.36325651070652015,-2041.333333333333,-2029.8461538461536,-2041.333333333333,2041.321878442565,2041.3218461538452,2041.333333333333,2041.333333333333
multihit_15_cal_nominal,1000,conv_mean,14,1000,-2041.2906666666656,0.6736055307653965,-2041.3333333333328,-2030.6666666666663,-2041.3333333333328,2041.29077769707,2041.2906666666656,2041.3333333333328,2041.3333333333328
multihit_15_cal_nominal,1000,conv_mean,15,1000,-2041.2835555555546,0.7025533332953395,-2041.3333333333328,-2031.3777777777773,-2041.3333333333328,2041.2836763343632,2041.2835555555546,2041.3333333333328,2041.3333333333328
multihit_15_cal_nominal,2000,conv_mean,1,1000,-1926.666666666667,4.549748952343969e-13,-1926.6666666666665,-1926.6666666666665,-1926.6666666666665,1926.6666666666667,1926.666666666667,1926.6666666666665,1926.6666666666665
multihit_15_cal_nominal,2000,conv_mean,2,1000,-1926.5920000000003,2.3611673195923855,-1926.6666666666665,-1852.0,-1926.6666666666665,1926.5934454367898,1926.5920000000003,1926.6666666666665,1926.6666666666665
multihit_15_cal_nominal,2000,conv_mean,3,1000,-1926.6666666666672,4.549748952343969e-13,-1926.6666666666667,-1926.6666666666667,-1926.6666666666667,1926.666666666667,1926.6666666666672,1926.6666666666667,1926.6666666666667
