idx	marker_handle	box	llx	lly	urx	ury	cx	cy	layer	type	subType	message
11	0x7f158981ce30	{2884.09 147.98 2884.47 148.26}	2884.09	147.98	2884.47	148.26	2884.280000	148.120000	MET1	Geometry	Minimal_Area	Regular Wire of Net n_3156 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0 LEF Description: AREA 0.202000 ;
12	0x7f1587a606b0	{2252.61 8.24 2252.95 8.83}	2252.61	8.24	2252.95	8.83	2252.780000	8.535000	MET1	Connectivity	NoRouting	Net VDD
13	0x7f1587a60680	{2251.2 11.92 2259.04 12.72}	2251.2	11.92	2259.04	12.72	2255.120000	12.320000	MET1	Connectivity	NoRouting	Net VSS
14	0x7f158981ce60	{2975.93 29.26 2976.31 29.54}	2975.93	29.26	2976.31	29.54	2976.120000	29.400000	MET1	Geometry	Minimal_Area	Regular Wire of Net n_3183 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0 LEF Description: AREA 0.202000 ;
15	0x7f158981ce90	{2979.85 38.22 2980.23 38.5}	2979.85	38.22	2980.23	38.5	2980.040000	38.360000	MET1	Geometry	Minimal_Area	Regular Wire of Net n_3173 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0 LEF Description: AREA 0.202000 ;
16	0x7f1587a601a0	{1269.3 35.62 1270.3 36.62}	1269.3	35.62	1270.3	36.62	1269.800000	36.120000	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net src_data_i[0][8] Actual: 3499.187000 Required: 380.000000 Type: Antenna Side Area Ratio # 3499187 380000 50 0 PIN: u_cluster_g162964 (AO222JIHDX2) C LAYER MET3: Area(299.8948) S.Area(1213.5183) G.Area(0.3468) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (3499.1877 / 380.0000)
17	0x7f1587a601d0	{1252.5 23.86 1253.5 24.86}	1252.5	23.86	1253.5	24.86	1253.000000	24.360000	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net src_data_i[0][12] Actual: 2054.886000 Required: 380.000000 Type: Antenna Side Area Ratio # 2054886 380000 50 0 PIN: u_cluster_g162963 (AO222JIHDX2) C LAYER MET3: Area(176.0172) S.Area(712.6345) G.Area(0.3468) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (2054.8861 / 380.0000)
18	0x7f1587a60200	{1229.54 23.3 1230.54 24.3}	1229.54	23.3	1230.54	24.3	1230.040000	23.800000	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net src_data_i[0][6] Actual: 2268.732000 Required: 380.000000 Type: Antenna Side Area Ratio # 2268732 380000 50 0 PIN: u_cluster_g162958 (AO222JIHDX2) C LAYER MET3: Area(193.5312) S.Area(786.7964) G.Area(0.3468) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (2268.7324 / 380.0000)
19	0x7f1587a60230	{1227.86 27.22 1228.86 28.22}	1227.86	27.22	1228.86	28.22	1228.360000	27.720000	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net src_data_i[0][5] Actual: 1192.658000 Required: 380.000000 Type: Antenna Side Area Ratio # 1192658 380000 50 0 PIN: u_cluster_g162965 (AO222JIHDX2) C LAYER MET3: Area(101.3748) S.Area(413.6139) G.Area(0.3468) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (1192.6583 / 380.0000)
20	0x7f1587a60260	{1227.3 22.74 1228.3 23.74}	1227.3	22.74	1228.3	23.74	1227.800000	23.240000	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net src_data_i[1][6] Actual: 711.007000 Required: 380.000000 Type: Antenna Side Area Ratio # 711007 380000 50 0 PIN: u_cluster_g162958 (AO222JIHDX2) A LAYER MET3: Area(60.8476) S.Area(246.5773) G.Area(0.3468) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (711.0072 / 380.0000)
21	0x7f1587a60290	{1225.62 27.78 1226.62 28.78}	1225.62	27.78	1226.62	28.78	1226.120000	28.280000	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net src_data_i[1][5] Actual: 1289.268000 Required: 380.000000 Type: Antenna Side Area Ratio # 1289268 380000 50 0 PIN: u_cluster_g162965 (AO222JIHDX2) A LAYER MET3: Area(110.1472) S.Area(447.1184) G.Area(0.3468) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (1289.2687 / 380.0000)
22	0x7f1587a602c0	{1209.38 45.7 1210.38 46.7}	1209.38	45.7	1210.38	46.7	1209.880000	46.200000	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net src_data_i[1][4] Actual: 2197.005000 Required: 380.000000 Type: Antenna Side Area Ratio # 2197005 380000 50 0 PIN: u_cluster_g162950 (AO221JIHDX2) A LAYER MET3: Area(188.9616) S.Area(764.5580) G.Area(0.3480) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (2197.0058 / 380.0000)
23	0x7f1587a602f0	{1208.26 27.78 1209.26 28.78}	1208.26	27.78	1209.26	28.78	1208.760000	28.280000	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net src_data_i[3][3] Actual: 2249.317000 Required: 380.000000 Type: Antenna Side Area Ratio # 2249317 380000 50 0 PIN: u_cluster_g162951 (AO221JIHDX2) C LAYER MET3: Area(192.6884) S.Area(782.7623) G.Area(0.3480) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (2249.3170 / 380.0000)
24	0x7f1587a60320	{1207.14 45.7 1208.14 46.7}	1207.14	45.7	1208.14	46.7	1207.640000	46.200000	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net src_data_i[3][4] Actual: 2420.765000 Required: 380.000000 Type: Antenna Side Area Ratio # 2420765 380000 50 0 PIN: u_cluster_g162950 (AO221JIHDX2) C LAYER MET3: Area(207.7860) S.Area(842.4263) G.Area(0.3480) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (2420.7653 / 380.0000)
25	0x7f1587a60350	{1198.18 26.66 1199.18 27.66}	1198.18	26.66	1199.18	27.66	1198.680000	27.160000	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net src_data_i[0][9] Actual: 1273.270000 Required: 380.000000 Type: Antenna Side Area Ratio # 1273270 380000 50 0 PIN: u_cluster_g162966 (AO222JIHDX2) C LAYER MET3: Area(108.8508) S.Area(441.5701) G.Area(0.3468) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (1273.2702 / 380.0000)
26	0x7f1587a60380	{1168.5 26.66 1169.5 27.66}	1168.5	26.66	1169.5	27.66	1169.000000	27.160000	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net src_data_i[0][4] Actual: 2775.766000 Required: 380.000000 Type: Antenna Side Area Ratio # 2775766 380000 50 0 PIN: u_cluster_g162957 (AO222JIHDX2) C LAYER MET3: Area(236.7100) S.Area(962.6357) G.Area(0.3468) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (2775.7662 / 380.0000)
27	0x7f1587a60650	{1306.26 17.7 1307.26 18.7}	1306.26	17.7	1307.26	18.7	1306.760000	18.200000	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net src_data_i[0][2] Actual: 2956.670000 Required: 380.000000 Type: Antenna Side Area Ratio # 2956670 380000 50 0 PIN: u_cluster_g162955 (AO222JIHDX2) C LAYER MET3: Area(253.5100) S.Area(1025.3733) G.Area(0.3468) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (2956.6704 / 380.0000)
28	0x7f1587a60620	{1306.26 23.86 1307.26 24.86}	1306.26	23.86	1307.26	24.86	1306.760000	24.360000	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net src_data_i[0][3] Actual: 3901.660000 Required: 380.000000 Type: Antenna Side Area Ratio # 3901660 380000 50 0 PIN: u_cluster_g162956 (AO222JIHDX2) C LAYER MET3: Area(334.3236) S.Area(1353.0959) G.Area(0.3468) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (3901.6606 / 380.0000)
29	0x7f1587a605f0	{1308.5 18.82 1309.5 19.82}	1308.5	18.82	1309.5	19.82	1309.000000	19.320000	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net src_data_i[1][2] Actual: 1091.453000 Required: 380.000000 Type: Antenna Side Area Ratio # 1091453 380000 50 0 PIN: u_cluster_g162955 (AO222JIHDX2) A LAYER MET3: Area(93.2268) S.Area(378.5161) G.Area(0.3468) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (1091.4536 / 380.0000)
30	0x7f1587a605c0	{1308.5 22.74 1309.5 23.74}	1308.5	22.74	1309.5	23.74	1309.000000	23.240000	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net src_data_i[1][3] Actual: 1756.485000 Required: 380.000000 Type: Antenna Side Area Ratio # 1756485 380000 50 0 PIN: u_cluster_g162956 (AO222JIHDX2) A LAYER MET3: Area(149.8260) S.Area(609.1491) G.Area(0.3468) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (1756.4853 / 380.0000)
31	0x7f1587a60590	{1368.98 18.82 1369.98 19.82}	1368.98	18.82	1369.98	19.82	1369.480000	19.320000	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net src_data_i[0][1] Actual: 1528.325000 Required: 380.000000 Type: Antenna Side Area Ratio # 1528325 380000 50 0 PIN: u_cluster_g163096 (AN22JIHDX4) B LAYER MET3: Area(158.4892) S.Area(641.8965) G.Area(0.4200) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (1528.3250 / 380.0000)
32	0x7f1587a60560	{1428.34 13.22 1429.34 14.22}	1428.34	13.22	1429.34	14.22	1428.840000	13.720000	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net src_data_i[0][15] Actual: 504.476000 Required: 380.000000 Type: Antenna Side Area Ratio # 504476 380000 50 0 PIN: u_cluster_g163722 (AO22JIHDX2) A LAYER MET3: Area(49.9864) S.Area(204.0102) G.Area(0.4044) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (504.4763 / 380.0000)
